Date,Open,High,Low,Close,Adj Close,Volume
1989-12-15,9.890000,9.890000,9.890000,9.890000,2.668363,0
1989-12-18,9.720000,9.720000,9.720000,9.720000,2.622496,0
1989-12-19,9.750000,9.750000,9.750000,9.750000,2.630590,0
1989-12-20,9.790000,9.790000,9.790000,9.790000,2.641382,0
1989-12-21,9.860000,9.860000,9.860000,9.860000,2.660268,0
1989-12-22,9.950000,9.950000,9.950000,9.950000,2.684551,0
1989-12-26,9.950000,9.950000,9.950000,9.950000,2.684551,0
1989-12-27,9.970000,9.970000,9.970000,9.970000,2.689947,0
1989-12-28,10.010000,10.010000,10.010000,10.010000,2.700739,0
1989-12-29,10.090000,10.090000,10.090000,10.090000,2.722323,0
1990-01-02,10.220000,10.220000,10.220000,10.220000,2.757398,0
1990-01-03,10.230000,10.230000,10.230000,10.230000,2.760096,0
1990-01-04,10.180000,10.180000,10.180000,10.180000,2.746605,0
1990-01-05,10.150000,10.150000,10.150000,10.150000,2.738512,0
1990-01-08,10.150000,10.150000,10.150000,10.150000,2.738512,0
1990-01-09,10.070000,10.070000,10.070000,10.070000,2.716927,0
1990-01-10,9.980000,9.980000,9.980000,9.980000,2.692645,0
1990-01-11,9.990000,9.990000,9.990000,9.990000,2.695343,0
1990-01-12,9.800000,9.800000,9.800000,9.800000,2.644080,0
1990-01-15,9.730000,9.730000,9.730000,9.730000,2.625194,0
1990-01-16,9.880000,9.880000,9.880000,9.880000,2.665664,0
1990-01-17,9.820000,9.820000,9.820000,9.820000,2.649476,0
1990-01-18,9.780000,9.780000,9.780000,9.780000,2.638684,0
1990-01-19,9.890000,9.890000,9.890000,9.890000,2.668363,0
1990-01-22,9.690000,9.690000,9.690000,9.690000,2.614402,0
1990-01-23,9.700000,9.700000,9.700000,9.700000,2.617100,0
1990-01-24,9.670000,9.670000,9.670000,9.670000,2.609006,0
1990-01-25,9.610000,9.610000,9.610000,9.610000,2.592817,0
1990-01-26,9.540000,9.540000,9.540000,9.540000,2.573931,0
1990-01-29,9.450000,9.450000,9.450000,9.450000,2.549649,0
1990-01-30,9.320000,9.320000,9.320000,9.320000,2.514574,0
1990-01-31,9.470000,9.470000,9.470000,9.470000,2.555045,0
1990-02-01,9.500000,9.500000,9.500000,9.500000,2.563139,0
1990-02-02,9.560000,9.560000,9.560000,9.560000,2.579327,0
1990-02-05,9.620000,9.620000,9.620000,9.620000,2.595515,0
1990-02-06,9.590000,9.590000,9.590000,9.590000,2.587421,0
1990-02-07,9.700000,9.700000,9.700000,9.700000,2.617100,0
1990-02-08,9.720000,9.720000,9.720000,9.720000,2.622496,0
1990-02-09,9.730000,9.730000,9.730000,9.730000,2.625194,0
1990-02-12,9.620000,9.620000,9.620000,9.620000,2.595515,0
1990-02-13,9.640000,9.640000,9.640000,9.640000,2.600911,0
1990-02-14,9.670000,9.670000,9.670000,9.670000,2.609006,0
1990-02-15,9.720000,9.720000,9.720000,9.720000,2.622496,0
1990-02-16,9.690000,9.690000,9.690000,9.690000,2.614402,0
1990-02-20,9.580000,9.580000,9.580000,9.580000,2.584723,0
1990-02-21,9.570000,9.570000,9.570000,9.570000,2.582025,0
1990-02-22,9.560000,9.560000,9.560000,9.560000,2.579327,0
1990-02-23,9.480000,9.480000,9.480000,9.480000,2.557743,0
1990-02-26,9.560000,9.560000,9.560000,9.560000,2.579327,0
1990-02-27,9.620000,9.620000,9.620000,9.620000,2.595515,0
1990-02-28,9.690000,9.690000,9.690000,9.690000,2.614402,0
1990-03-01,9.710000,9.710000,9.710000,9.710000,2.619798,0
1990-03-02,9.800000,9.800000,9.800000,9.800000,2.644080,0
1990-03-05,9.800000,9.800000,9.800000,9.800000,2.644080,0
1990-03-06,9.910000,9.910000,9.910000,9.910000,2.673759,0
1990-03-07,9.900000,9.900000,9.900000,9.900000,2.671060,0
1990-03-08,9.960000,9.960000,9.960000,9.960000,2.687248,0
